transaction_id,customer_id,merchant_id,amount,currency,timestamp,device_id,ip_address,location,lat,lon,payment_method,beneficiary_id,transaction_status,customer_age_days,customer_avg_amount,customer_transaction_count,previous_fraud_alerts,chargeback_history,is_fraud,fraud_type,velocity_1m,velocity_10m,velocity_1h,velocity_24h,amount_to_baseline_ratio
txn_44e71af272,cust_00418,merch_5b4ca87e59,381.13,INR,2026-07-27T22:02:05,dev_03501a0b02,49.176.98.44,Delhi,28.7041,77.1025,netbanking,benef_19b3bae89e,completed,1238,1091.39,261,0,0,0,none,1,0,0,9,0.349
txn_cd45770689,cust_00442,merch_ce05f572e1,3766.63,INR,2026-06-07T04:07:24,dev_910e809026,49.48.164.169,Delhi,28.7041,77.1025,wallet,benef_d4064ef512,completed,124,2763.17,337,0,0,0,none,0,0,1,10,1.363
txn_441297a931,cust_00213,merch_c84b2d9f81,1320.53,INR,2026-07-21T04:27:54,dev_c73dd82cf4,49.108.117.88,Kolkata,22.5726,88.3639,upi,benef_f680605627,completed,1281,1197.23,380,0,0,0,none,1,2,1,9,1.103
txn_7d433f2657,cust_00499,merch_2340f5e723,6002.52,INR,2026-07-03T08:10:41,dev_c93e657f1e,49.33.192.200,Pune,18.5204,73.8567,upi,benef_c7b9e86646,completed,488,5278.72,379,0,0,0,none,1,1,3,6,1.137
txn_10ae7c1e01,cust_00053,merch_514e977767,3615.72,INR,2026-06-05T05:06:02,dev_2427b9be62,49.184.88.53,Hyderabad,17.385,78.4867,netbanking,benef_80ebc21f27,completed,1086,4218.73,446,0,0,0,none,0,0,2,7,0.857
txn_8acffeb609,cust_00270,merch_95a0ec3e14,1307.66,INR,2026-07-23T23:52:25,dev_4782e64c76,49.52.12.203,Chennai,13.0827,80.2707,card,benef_adae25bd5b,completed,176,1436.98,26,0,0,0,none,0,0,1,5,0.91
txn_e73d351dd3,cust_00168,merch_5b4ca87e59,1902.48,INR,2026-06-08T10:19:48,dev_8a95bd3ece,49.117.217.78,Chennai,13.0827,80.2707,card,benef_0c73e9dc9a,completed,1580,1435.54,81,0,0,0,none,1,2,1,9,1.325
txn_fd820a2e33,cust_00164,merch_01836b4c1c,3929.81,INR,2026-07-14T13:09:33,dev_d16bf3b67e,49.44.45.21,Delhi,28.7041,77.1025,netbanking,benef_15d9df13f2,completed,1571,3774.1,70,0,0,0,none,0,1,0,4,1.041
txn_e1e6321516,cust_00452,merch_5b4ca87e59,1068.9,INR,2026-07-14T07:37:22,dev_1149294a2e,49.244.3.125,Pune,18.5204,73.8567,netbanking,benef_52ec1d6898,completed,1577,1078.25,319,0,0,0,none,0,2,3,7,0.991
txn_115a681360,cust_00255,merch_5b4ca87e59,42795.23,INR,2026-06-01T19:08:04,dev_b00c988fe5,103.86.207.110,Kolkata,22.5726,88.3639,netbanking,benef_76bd988fb5,completed,1852,1565.62,3,1,0,1,coordinated_cluster,4,10,17,23,27.334
txn_25c011d091,cust_00336,merch_e7abd3f203,1616.34,INR,2026-07-29T06:38:41,dev_734bc5e0db,49.172.232.136,Bengaluru,12.9716,77.5946,netbanking,benef_1091756a8c,completed,958,1586.33,67,0,0,0,none,1,0,2,10,1.019
txn_e125bad18e,cust_00223,merch_0d1d63e3f9,339.4,INR,2026-07-13T00:42:17,dev_8522303fbf,49.75.30.104,Kolkata,22.5726,88.3639,wallet,benef_8428ec201b,completed,1335,418.88,121,0,0,0,none,1,0,4,4,0.81
txn_8979e9ad71,cust_00075,merch_2340f5e723,1613.13,INR,2026-07-11T11:04:50,dev_d1f7f944b5,49.169.22.73,Delhi,28.7041,77.1025,upi,benef_428924386a,completed,1377,3238.08,183,0,0,1,shared_device,1,0,1,8,0.498
txn_48cc5e68e3,cust_00456,merch_3988b86e93,5824.53,INR,2026-07-05T13:58:05,dev_26632d6720,49.147.30.69,Mumbai,19.076,72.8777,netbanking,benef_e29b8ac29e,completed,1507,4718.14,204,0,0,0,none,0,2,0,5,1.234
txn_5e99dce22e,cust_00094,merch_b159d25f91,4284.44,INR,2026-07-13T13:15:13,dev_5ad2e03361,49.98.84.55,Chennai,13.0827,80.2707,upi,benef_662a6730da,completed,1387,2891.79,102,0,0,0,none,0,1,1,3,1.482
txn_541ccc6bb0,cust_00407,merch_71143b04d0,1070.88,INR,2026-06-11T00:14:45,dev_f2dcc20452,49.99.194.190,Pune,18.5204,73.8567,upi,benef_7ebb609b52,completed,326,1097.72,75,0,0,0,none,1,2,0,4,0.976
txn_babea59548,cust_00400,merch_0d1d63e3f9,2513.9,INR,2026-06-10T07:49:10,dev_b23523e9d1,49.254.179.58,Hyderabad,17.385,78.4867,netbanking,benef_6f3e2d3fef,completed,335,2009.86,420,0,0,1,merchant_abuse,4,15,26,60,1.251
txn_206ef04c25,cust_00242,merch_abf9ee9ff5,6404.92,INR,2026-06-28T12:55:26,dev_c13f9e3133,49.34.153.182,Kolkata,22.5726,88.3639,netbanking,benef_57880ed555,completed,1273,5646.61,186,0,0,0,none,0,0,4,6,1.134
txn_9ae0bbf3b5,cust_00216,merch_bd45cae8e0,714.02,INR,2026-06-04T00:34:17,dev_810057f16a,49.56.194.132,Chennai,13.0827,80.2707,card,benef_c832244c24,completed,1765,948.76,58,0,0,0,none,1,2,2,5,0.753
txn_483f1c395a,cust_00321,merch_e884316330,2775.02,INR,2026-06-19T17:12:02,dev_21cf381bb1,49.173.29.251,Unknown,0.0,0.0,wallet,benef_d4590cf419,completed,1265,2674.28,454,0,0,1,suspicious_geo,0,0,0,2,1.038
txn_5ad432dcc2,cust_00208,merch_fd372ae5fa,3012.21,INR,2026-06-13T13:38:22,dev_648e5a9219,49.169.124.58,Delhi,28.7041,77.1025,wallet,benef_23724292c7,completed,1439,5129.47,460,0,0,1,velocity_burst,9,14,19,25,0.587
txn_ffbf3443aa,cust_00459,merch_d78340946b,4672.36,INR,2026-06-08T04:37:12,dev_28da58a49a,185.115.224.12,Mumbai,19.076,72.8777,netbanking,benef_5fe53800ba,completed,2413,1496.31,4,0,0,1,account_takeover,0,2,3,5,3.123
txn_b2f5b49177,cust_00292,merch_d78340946b,9136.28,INR,2026-06-22T18:13:50,dev_496ea1fb60,49.17.80.102,Mumbai,19.076,72.8777,netbanking,benef_c1e03bf33e,completed,1965,5997.69,149,0,0,0,none,1,0,3,2,1.523
txn_56d6b0c69d,cust_00042,merch_fd372ae5fa,3418.35,INR,2026-06-25T06:13:31,dev_6103589ca6,49.15.13.150,Pune,18.5204,73.8567,upi,benef_344f791777,completed,2180,3017.69,321,0,0,0,none,1,1,4,3,1.133
txn_8fa689b472,cust_00477,merch_0d1d63e3f9,423.09,INR,2026-06-08T11:21:47,dev_17a501b501,49.133.175.114,Hyderabad,17.385,78.4867,wallet,benef_c8b719ec7d,completed,1412,352.94,115,0,0,0,none,0,0,4,1,1.199
txn_0e3a74e7ae,cust_00328,merch_2029e75855,30050.36,INR,2026-07-19T20:53:14,dev_d424c6bae0,49.140.91.174,Pune,18.5204,73.8567,netbanking,benef_888edb0c1f,completed,1087,4700.34,76,0,0,1,new_beneficiary_high_amount,0,2,0,6,6.393
txn_44da1309f5,cust_00119,merch_bd45cae8e0,1687.54,INR,2026-07-01T21:12:51,dev_a9470ac40a,49.214.50.76,Mumbai,19.076,72.8777,wallet,benef_b080da25f6,completed,739,1596.65,71,0,0,1,shared_device,1,1,0,5,1.057
txn_d8a50c3416,cust_00282,merch_01836b4c1c,2947.36,INR,2026-06-18T08:17:12,dev_5b49650d5e,49.155.40.174,Bengaluru,12.9716,77.5946,card,benef_c383e49184,completed,1524,2864.56,79,0,0,0,none,1,0,1,10,1.029
txn_2269c66fd8,cust_00270,merch_b159d25f91,1268.06,INR,2026-06-07T06:29:48,dev_4782e64c76,49.52.12.203,Chennai,13.0827,80.2707,netbanking,benef_77de7c1102,completed,176,1436.98,315,0,0,0,none,0,2,4,8,0.882
txn_e10ecbeb54,cust_00305,merch_4b2372e333,3111.75,INR,2026-07-21T19:29:28,dev_e1be21d9f4,49.34.195.95,Kolkata,22.5726,88.3639,card,benef_903289042b,completed,439,3235.39,432,0,0,0,none,0,0,3,10,0.962
txn_27ee5bac1f,cust_00062,merch_abf9ee9ff5,550.27,INR,2026-07-29T08:07:16,dev_b00c988fe5,49.41.202.180,Chennai,13.0827,80.2707,card,benef_2eb9453e06,completed,163,916.15,390,0,0,1,shared_device,1,1,0,3,0.601
txn_cf0e52a32d,cust_00302,merch_01836b4c1c,3879.37,INR,2026-07-29T00:28:19,dev_8fe4d4d2c0,49.165.245.78,Chennai,13.0827,80.2707,wallet,benef_e2d972fd88,completed,1668,3052.79,328,0,0,0,none,1,1,3,9,1.271
txn_8d18ed25c5,cust_00411,merch_71143b04d0,49467.21,INR,2026-06-05T16:02:40,dev_02542b3044,49.198.159.76,Mumbai,19.076,72.8777,netbanking,benef_da4d0aae3a,completed,306,4848.91,34,0,0,1,unusual_amount,1,1,4,9,10.202
txn_b18eee67fe,cust_00211,merch_3988b86e93,1317.08,INR,2026-07-27T19:28:45,dev_0c49a3addb,49.2.47.223,Pune,18.5204,73.8567,wallet,benef_403e2ef5f4,completed,1646,1116.53,38,0,0,0,none,0,1,2,6,1.18
txn_cd263d9dfc,cust_00382,merch_e884316330,5353.9,INR,2026-07-28T23:02:20,dev_f9ab753305,49.123.54.223,Hyderabad,17.385,78.4867,netbanking,benef_ced6427d3a,completed,1246,5470.09,479,0,0,0,none,0,1,3,4,0.979
txn_a787f215b9,cust_00491,merch_bd45cae8e0,4347.11,INR,2026-07-06T22:08:43,dev_97f486b075,49.161.183.129,Chennai,13.0827,80.2707,upi,benef_0f92725212,completed,1739,4672.53,338,0,0,0,none,1,2,1,2,0.93
txn_5541bd9876,cust_00262,merch_fd372ae5fa,2816.03,INR,2026-06-03T18:15:36,dev_86a629a50a,103.68.183.250,Kolkata,22.5726,88.3639,netbanking,benef_08f73e09c1,completed,459,2905.55,54,0,0,1,shared_ip,0,2,4,4,0.969
txn_ab72db87e6,cust_00367,merch_0d1d63e3f9,2434.44,INR,2026-06-17T20:57:34,dev_cb5f0fd9cb,49.173.185.140,Ahmedabad,23.0225,72.5714,upi,benef_b58d6b5b97,completed,1558,2717.53,354,0,0,0,none,1,2,2,10,0.896
txn_24b57bd02b,cust_00273,merch_5ca7180d9a,2684.78,INR,2026-07-19T22:05:56,dev_8d99874e82,49.32.205.95,Chennai,13.0827,80.2707,upi,benef_a3d8e95b4a,completed,1643,2790.62,28,0,0,0,none,1,2,2,10,0.962
txn_f2402c32d0,cust_00469,merch_514e977767,2405.19,INR,2026-06-24T07:49:15,dev_1816745e00,49.248.110.212,Hyderabad,17.385,78.4867,card,benef_4839315741,completed,1104,1507.55,253,0,0,0,none,1,0,1,2,1.595
txn_a873b786d4,cust_00421,merch_01836b4c1c,1598.48,INR,2026-07-06T01:48:51,dev_0b6ef95ca5,49.118.28.35,Hyderabad,17.385,78.4867,card,benef_9dfa034a90,completed,1625,2036.55,365,0,0,0,none,1,1,0,2,0.785
txn_9b0259d578,cust_00028,merch_5b4ca87e59,1921.5,INR,2026-07-03T12:02:37,dev_cc4474acbb,49.64.58.17,Mumbai,19.076,72.8777,upi,benef_2b80a1a810,completed,2414,2227.09,417,0,0,0,none,0,1,3,10,0.863
txn_daf10051fd,cust_00250,merch_ce05f572e1,15379.32,INR,2026-07-12T05:05:54,dev_945ca18c1c,49.60.137.62,Ahmedabad,23.0225,72.5714,netbanking,benef_08844f0765,completed,1926,2063.97,118,0,0,1,unusual_amount,1,0,2,10,7.451
txn_b7ecd5c670,cust_00193,merch_3988b86e93,643.03,INR,2026-06-11T04:40:26,dev_0f2706e30f,49.29.170.222,Delhi,28.7041,77.1025,upi,benef_adb0d91eea,completed,65,446.95,373,0,0,0,none,1,2,3,2,1.439
txn_ba71a08001,cust_00265,merch_9b22423275,685.36,INR,2026-07-25T09:45:04,dev_c8b2bcb92c,49.135.250.93,Mumbai,19.076,72.8777,card,benef_eed12e0201,completed,2159,685.77,492,0,0,0,none,0,2,4,10,0.999
txn_28fb502808,cust_00225,merch_03cef64aef,3191.95,INR,2026-07-04T12:26:57,dev_266aa75aba,49.112.151.103,Hyderabad,17.385,78.4867,netbanking,benef_0be02ee646,completed,1626,3286.59,32,0,0,0,none,1,1,1,8,0.971
txn_cebc87b264,cust_00254,merch_ce05f572e1,1870.21,INR,2026-06-19T11:03:03,dev_ceac4e5c15,49.73.22.196,Mumbai,19.076,72.8777,wallet,benef_29c70c60b6,completed,1845,1213.78,183,0,0,0,none,0,0,3,7,1.541
txn_c611038540,cust_00466,merch_c84b2d9f81,2019.83,INR,2026-07-23T00:15:45,dev_9fa31bb006,49.163.204.226,Mumbai,19.076,72.8777,wallet,benef_2b86d520cc,completed,1655,4682.64,405,0,0,0,none,0,2,1,10,0.431
txn_9997e888f3,cust_00470,merch_5ca7180d9a,1335.55,INR,2026-06-07T08:17:12,dev_b00c988fe5,49.87.141.148,Chennai,13.0827,80.2707,upi,benef_233256e0bc,completed,1992,1044.39,177,0,0,1,shared_device,1,2,2,6,1.279
txn_2179439c6e,cust_00099,merch_9b22423275,3970.47,INR,2026-07-23T15:29:28,dev_a2a397523c,49.145.243.56,Mumbai,19.076,72.8777,wallet,benef_071cffbacf,completed,1054,2950.69,63,0,0,0,none,1,0,2,6,1.346
txn_085f6c6251,cust_00011,merch_d78340946b,2778.71,INR,2026-06-18T19:12:52,dev_dab323ed98,49.42.119.98,Hyderabad,17.385,78.4867,upi,benef_a5931b1cc4,completed,2286,1838.7,489,0,0,0,none,0,0,4,3,1.511
txn_86704fac8c,cust_00221,merch_dd82948f35,4997.82,INR,2026-07-10T16:55:44,dev_801f3aa7b8,49.19.102.221,Pune,18.5204,73.8567,wallet,benef_082eb9287d,completed,1791,4529.64,140,0,0,0,none,1,0,1,8,1.103
txn_549952516a,cust_00446,merch_95a0ec3e14,2873.95,INR,2026-07-18T06:43:03,dev_500ad4eac9,49.153.100.157,Pune,18.5204,73.8567,wallet,benef_0a84417542,completed,472,2537.5,124,0,0,0,none,0,2,1,4,1.133
txn_c0799e8c49,cust_00288,merch_d78340946b,563.71,INR,2026-07-19T15:45:02,dev_23e2b5cbbd,49.171.89.182,Lagos,6.5244,3.3792,netbanking,benef_2ed707a932,completed,2225,670.15,239,0,0,1,suspicious_geo,1,2,4,2,0.841
txn_4f3984f6c9,cust_00471,merch_01836b4c1c,5226.16,INR,2026-07-11T05:15:04,dev_5851446578,49.12.26.161,Bengaluru,12.9716,77.5946,card,benef_4d20e082e3,completed,1887,4768.17,39,0,0,0,none,0,1,0,2,1.096
txn_5b3b8c818a,cust_00058,merch_4b2372e333,2088.6,INR,2026-06-21T10:37:23,dev_b54a088ad3,49.33.11.79,Kolkata,22.5726,88.3639,upi,benef_745595a631,completed,168,2378.51,434,0,0,0,none,0,2,4,2,0.878
txn_104dcbaac3,cust_00162,merch_2029e75855,388.39,INR,2026-06-07T17:41:43,dev_df39f6d4bc,49.178.77.232,Delhi,28.7041,77.1025,card,benef_a5a1bd2535,completed,1333,465.0,252,0,0,0,none,1,2,0,9,0.835
txn_5006ea431c,cust_00370,merch_3988b86e93,532.84,INR,2026-07-26T10:45:21,dev_f639a8d588,49.18.26.153,Hyderabad,17.385,78.4867,upi,benef_0ba138c299,completed,2453,491.38,89,0,0,0,none,0,1,3,8,1.084
txn_a02eff0a91,cust_00227,merch_dd82948f35,1755.51,INR,2026-06-19T18:45:07,dev_31b4669b3a,49.232.199.90,Hyderabad,17.385,78.4867,upi,benef_cbf2bb1a53,completed,609,2301.27,67,0,0,0,none,1,2,2,5,0.763
txn_155ee2b421,cust_00381,merch_cabe3a62d2,396.7,INR,2026-06-13T09:54:49,dev_8f5884847c,49.173.155.155,Kolkata,22.5726,88.3639,netbanking,benef_80d1d5a7ff,completed,303,525.42,305,0,0,0,none,1,2,1,6,0.755
