transaction_id,customer_id,merchant_id,amount,currency,timestamp,device_id,ip_address,location,lat,lon,payment_method,beneficiary_id,transaction_status,customer_age_days,customer_avg_amount,customer_transaction_count,previous_fraud_alerts,chargeback_history,is_fraud,fraud_type,velocity_1m,velocity_10m,velocity_1h,velocity_24h,amount_to_baseline_ratio
txn_0de865cf0c,cust_00285,merch_e7abd3f203,3309.46,INR,2026-06-06T07:35:05,dev_7e75638a44,49.133.100.234,Ahmedabad,23.0225,72.5714,upi,benef_5cfc322a9c,completed,1077,3501.53,155,0,0,0,none,0,1,4,8,0.945
txn_fff856b877,cust_00474,merch_514e977767,1550.49,INR,2026-06-03T02:20:58,dev_c9dcbb828d,49.24.168.93,Chennai,13.0827,80.2707,card,benef_11f9780c64,completed,1528,1727.22,254,0,0,0,none,1,1,4,1,0.898
txn_711bb0ab66,cust_00055,merch_abf9ee9ff5,1146.31,INR,2026-06-27T06:32:51,dev_be4e0ab409,49.1.86.198,Bengaluru,12.9716,77.5946,upi,benef_ee46491fb8,completed,1077,1045.67,380,0,0,0,none,0,1,1,3,1.096
txn_13fc7efd04,cust_00447,merch_b159d25f91,1331.67,INR,2026-06-15T14:30:10,dev_d58b066947,49.217.118.159,Pune,18.5204,73.8567,upi,benef_897e6e6d49,completed,1223,1283.41,225,0,0,0,none,0,1,4,9,1.038
txn_aeb2caab21,cust_00048,merch_07be2912df,709.2,INR,2026-07-06T02:52:28,dev_66cd3d62c2,49.160.145.26,Ahmedabad,23.0225,72.5714,netbanking,benef_c529bae479,completed,878,717.59,118,0,0,0,none,0,1,4,7,0.988
txn_c215355f95,cust_00246,merch_5ca7180d9a,659.56,INR,2026-06-10T20:21:04,dev_4c68d16e1d,49.76.217.202,Mumbai,19.076,72.8777,card,benef_d3c062dee8,completed,2215,876.5,64,0,0,0,none,1,1,4,5,0.752
txn_55558fd311,cust_00116,merch_01836b4c1c,1476.88,INR,2026-06-28T03:10:54,dev_96b8e7dac2,49.180.117.70,Pune,18.5204,73.8567,card,benef_342c3324e5,completed,949,2047.75,175,0,0,0,none,1,1,0,8,0.721
txn_896605a0af,cust_00025,merch_fd372ae5fa,4182.87,INR,2026-06-18T13:16:03,dev_dc1adeec0a,49.251.195.137,Mumbai,19.076,72.8777,wallet,benef_57965cbf96,completed,530,4665.26,52,0,0,0,none,0,0,2,8,0.897
txn_c857f1bd38,cust_00411,merch_2340f5e723,4144.71,INR,2026-07-18T15:08:21,dev_02542b3044,103.70.135.17,Mumbai,19.076,72.8777,wallet,benef_da4d0aae3a,completed,306,4848.91,90,0,0,1,shared_ip,1,2,2,2,0.855
txn_fcd832a78e,cust_00433,merch_ce05f572e1,867.78,INR,2026-06-01T14:09:58,dev_366aa5ae18,49.248.204.111,Pune,18.5204,73.8567,card,benef_1fd7eab222,completed,408,903.88,387,0,0,0,none,1,1,3,7,0.96
txn_04dcfc718c,cust_00477,merch_9b22423275,249.36,INR,2026-06-27T15:36:10,dev_17a501b501,49.133.175.114,Hyderabad,17.385,78.4867,netbanking,benef_c8b719ec7d,completed,1412,352.94,259,0,0,0,none,1,0,2,6,0.707
txn_92a02ddf8c,cust_00356,merch_fd372ae5fa,1033.32,INR,2026-07-22T17:45:07,dev_23f21defe6,49.20.235.145,Pune,18.5204,73.8567,netbanking,benef_ba1f3339f3,completed,2248,939.59,193,0,0,0,none,0,2,3,4,1.1
txn_5dedca44e9,cust_00111,merch_d78340946b,7091.63,INR,2026-07-26T02:13:04,dev_9b11356efd,49.226.153.180,Chennai,13.0827,80.2707,upi,benef_dd459d1cb4,completed,2281,5316.61,51,0,0,0,none,1,0,0,5,1.334
txn_44c944b6ee,cust_00345,merch_ea7ea275c9,2090.93,INR,2026-06-08T06:44:53,dev_c4f29994e3,49.50.208.29,Chennai,13.0827,80.2707,netbanking,benef_d9b369f9e2,completed,1884,2184.9,176,0,0,0,none,0,0,4,7,0.957
txn_05e7bcfc6a,cust_00319,merch_fd372ae5fa,5783.2,INR,2026-07-11T13:01:42,dev_53b26302a1,49.254.158.190,Kolkata,22.5726,88.3639,netbanking,benef_fda99d44ae,completed,2436,5102.83,411,0,0,0,none,0,2,3,3,1.133
txn_def28bff39,cust_00353,merch_07be2912df,1368.27,INR,2026-07-13T04:22:10,dev_5e71ad3bec,49.95.158.57,Chennai,13.0827,80.2707,wallet,benef_c5f46f2175,completed,552,1549.03,86,0,0,0,none,1,2,3,4,0.883
txn_1b95233d8b,cust_00143,merch_cabe3a62d2,1518.91,INR,2026-06-22T18:17:16,dev_a30f1c23c7,103.86.207.110,Bengaluru,12.9716,77.5946,netbanking,benef_26d672d708,completed,1184,1046.78,321,0,0,1,shared_ip,1,0,4,2,1.451
txn_c7eb59d0ee,cust_00300,merch_ce05f572e1,494.32,INR,2026-07-11T06:13:40,dev_36223a1e28,49.212.222.8,Bengaluru,12.9716,77.5946,wallet,benef_8d98961400,completed,2367,762.97,225,0,0,0,none,0,1,1,8,0.648
txn_cfd32199b8,cust_00346,merch_07be2912df,4857.73,INR,2026-06-08T01:52:44,dev_395e811080,49.4.189.87,Delhi,28.7041,77.1025,card,benef_81db351cfe,completed,2330,4807.38,87,0,0,0,none,0,1,4,3,1.01
txn_1fef85dc39,cust_00147,merch_9b22423275,4683.09,INR,2026-06-13T04:33:02,dev_dfb5882916,49.107.214.124,Chennai,13.0827,80.2707,card,benef_c255f5c958,completed,1003,5887.39,332,0,0,0,none,0,0,3,7,0.795
txn_98648eb65f,cust_00434,merch_c2141d29d8,4391.56,INR,2026-06-08T18:57:48,dev_90fea1469a,49.131.192.133,Hyderabad,17.385,78.4867,netbanking,benef_8e560c3ed1,completed,2361,3480.56,18,0,0,0,none,1,2,3,2,1.262
txn_59eeb747d5,cust_00474,merch_e884316330,1145.15,INR,2026-06-16T11:02:22,dev_c9dcbb828d,49.24.168.93,Chennai,13.0827,80.2707,upi,benef_11f9780c64,completed,1528,1727.22,67,0,0,0,none,1,0,0,5,0.663
txn_88c68c6236,cust_00467,merch_a70bbe3fcf,1702.06,INR,2026-06-10T01:06:22,dev_400b40d89b,49.117.244.125,Pune,18.5204,73.8567,card,benef_d8c637b091,completed,15,2165.55,456,0,0,0,none,0,1,3,2,0.786
txn_f4e2a02767,cust_00209,merch_2029e75855,2258.11,INR,2026-07-01T05:30:30,dev_7671b5e800,49.196.72.147,Mumbai,19.076,72.8777,netbanking,benef_e30268cff5,completed,1762,1589.11,50,0,0,0,none,0,1,3,8,1.421
txn_390f417831,cust_00398,merch_d78340946b,1544.26,INR,2026-07-28T16:28:28,dev_a2a79effe3,49.236.25.135,Mumbai,19.076,72.8777,upi,benef_ce904483ba,completed,791,1148.72,173,0,0,0,none,1,2,0,8,1.344
txn_be48513f87,cust_00052,merch_514e977767,4419.05,INR,2026-07-14T20:53:37,dev_2492ff6fbb,49.228.28.191,Mumbai,19.076,72.8777,netbanking,benef_7ee4a9fe61,completed,1120,3453.37,234,0,0,0,none,0,2,3,9,1.28
txn_e060910322,cust_00418,merch_a7156e2770,1009.81,INR,2026-07-18T16:59:26,dev_03501a0b02,49.176.98.44,Delhi,28.7041,77.1025,upi,benef_e1ec13710b,completed,1238,1091.39,137,0,0,0,none,0,0,0,5,0.925
txn_eabf97520b,cust_00328,merch_c84b2d9f81,7641.78,INR,2026-06-16T12:53:38,dev_d424c6bae0,49.140.91.174,Pune,18.5204,73.8567,upi,benef_4031865b82,completed,1087,4700.34,138,0,0,0,none,1,1,1,9,1.626
txn_91c1afab81,cust_00198,merch_07be2912df,6595.98,INR,2026-07-14T21:02:31,dev_d5dd827c93,49.176.28.126,Kolkata,22.5726,88.3639,netbanking,benef_40c43937b5,completed,1821,4360.69,168,0,0,0,none,1,2,4,10,1.513
txn_20386269f3,cust_00173,merch_e884316330,437.35,INR,2026-07-09T18:34:34,dev_7d751c01c0,49.80.202.113,Bengaluru,12.9716,77.5946,wallet,benef_1717fd067d,completed,1499,490.18,464,0,0,0,none,1,1,2,2,0.892
txn_9cf4f3f984,cust_00224,merch_cabe3a62d2,3089.18,INR,2026-06-09T02:37:35,dev_8a8286fb47,49.213.177.236,Ahmedabad,23.0225,72.5714,card,benef_23f1d19f40,completed,1793,2362.56,56,0,0,0,none,0,1,0,3,1.308
txn_6b9f62f12f,cust_00252,merch_e7abd3f203,5997.0,INR,2026-06-27T09:26:38,dev_52538832ca,49.129.136.108,Kolkata,22.5726,88.3639,card,benef_024435616c,completed,822,5807.73,221,0,0,0,none,0,0,0,1,1.033
txn_43793e25ed,cust_00049,merch_c84b2d9f81,636.16,INR,2026-07-25T01:32:06,dev_cc9b5304db,49.239.90.226,Delhi,28.7041,77.1025,card,benef_e90c9bd390,completed,1005,692.11,18,0,0,0,none,0,1,1,6,0.919
txn_9d273ec29f,cust_00133,merch_3988b86e93,3043.78,INR,2026-07-18T06:23:32,dev_aefc09768a,49.16.43.203,Mumbai,19.076,72.8777,netbanking,benef_8d5a358114,completed,2336,2053.39,257,0,0,0,none,0,1,2,1,1.482
txn_b480dbd623,cust_00057,merch_71143b04d0,2661.44,INR,2026-07-12T07:46:45,dev_97daab584f,49.140.10.214,Delhi,28.7041,77.1025,card,benef_f6b0348edd,completed,2268,2404.53,226,0,0,0,none,1,0,3,6,1.107
txn_4bbe9b1ea5,cust_00318,merch_4b2372e333,1290.82,INR,2026-07-06T18:40:11,dev_ce4194d43d,49.156.229.132,Delhi,28.7041,77.1025,upi,benef_26cc950aef,completed,1309,1096.75,143,0,0,0,none,0,2,3,3,1.177
txn_8394769b0f,cust_00261,merch_869521008e,2840.76,INR,2026-07-18T10:12:01,dev_269b63585f,49.199.74.61,Mumbai,19.076,72.8777,upi,benef_12a36b2b98,completed,200,2016.56,422,0,0,0,none,0,2,0,5,1.409
txn_c4e670b358,cust_00498,merch_cabe3a62d2,7822.18,INR,2026-07-10T15:38:26,dev_61ae5f4244,49.134.133.201,Pune,18.5204,73.8567,wallet,benef_63f94a7e22,completed,1066,4988.29,416,0,0,0,none,0,2,2,6,1.568
txn_233e790fb3,cust_00401,merch_869521008e,3488.04,INR,2026-06-05T07:01:06,dev_136be2681f,49.104.98.97,Mumbai,19.076,72.8777,netbanking,benef_e5b427726b,completed,234,3450.4,334,0,0,0,none,0,1,3,7,1.011
txn_da8f0502c0,cust_00017,merch_2029e75855,4916.92,INR,2026-07-15T21:06:14,dev_f64d622856,49.40.161.41,Mumbai,19.076,72.8777,card,benef_2592c653f0,completed,1734,4814.85,6,0,0,0,none,1,2,2,5,1.021
txn_7869d56186,cust_00476,merch_a70bbe3fcf,1600.03,INR,2026-07-05T18:37:00,dev_e7f6ddfd04,49.181.25.1,Mumbai,19.076,72.8777,netbanking,benef_350fe9dbe1,completed,324,1516.5,216,0,0,0,none,0,0,3,10,1.055
txn_dbabd0f3b6,cust_00062,merch_01836b4c1c,943.82,INR,2026-07-12T07:28:56,dev_2a20752d6d,49.41.202.180,Chennai,13.0827,80.2707,wallet,benef_d672f2eae8,completed,163,916.15,230,0,0,0,none,1,0,0,4,1.03
txn_e58f9fada5,cust_00311,merch_fd372ae5fa,3233.51,INR,2026-06-03T01:09:00,dev_13a1efe7b9,49.13.13.73,Pune,18.5204,73.8567,card,benef_520b709837,completed,1932,3120.9,280,0,0,0,none,0,2,0,4,1.036
txn_930f768677,cust_00214,merch_eda360a87f,993.39,INR,2026-06-26T13:00:23,dev_9e67a99630,49.227.14.40,Mumbai,19.076,72.8777,upi,benef_ee9b5c45a7,completed,208,1197.24,248,0,0,0,none,0,1,1,5,0.83
txn_541ccc6bb0,cust_00407,merch_71143b04d0,1070.88,INR,2026-06-11T00:14:45,dev_f2dcc20452,49.99.194.190,Pune,18.5204,73.8567,upi,benef_7ebb609b52,completed,326,1097.72,75,0,0,0,none,1,2,0,4,0.976
txn_b3e3f7ccba,cust_00233,merch_c2141d29d8,13115.01,INR,2026-07-05T04:33:46,dev_b00c988fe5,103.70.135.17,Pune,18.5204,73.8567,card,benef_76bd988fb5,completed,374,3974.6,441,2,0,1,coordinated_cluster,4,13,21,40,3.3
txn_30e53c22a3,cust_00414,merch_ea7ea275c9,830.36,INR,2026-06-16T19:56:47,dev_23ee2074a1,49.195.70.27,Pune,18.5204,73.8567,card,benef_c0215f7320,completed,772,1055.29,290,0,0,0,none,1,0,2,4,0.787
txn_1eaf95ac3d,cust_00437,merch_c84b2d9f81,3140.56,INR,2026-06-08T02:12:05,dev_9ee90e31f7,49.90.80.88,Delhi,28.7041,77.1025,wallet,benef_30e48fe3f9,completed,852,2895.4,146,0,0,0,none,1,0,2,5,1.085
txn_735aab6119,cust_00468,merch_5ca7180d9a,2133.13,INR,2026-06-25T14:26:58,dev_bf5a81366d,49.163.171.179,Ahmedabad,23.0225,72.5714,upi,benef_5fdd9b0aed,completed,264,2341.87,49,0,0,0,none,0,0,2,9,0.911
txn_33d756d7b2,cust_00324,merch_0d1d63e3f9,5325.42,INR,2026-07-14T11:15:13,dev_ba3c1aed1c,49.9.147.243,Hyderabad,17.385,78.4867,upi,benef_2985549d46,completed,786,4292.97,386,0,0,0,none,1,0,4,3,1.24
txn_f8a2b803e3,cust_00373,merch_cabe3a62d2,848.61,INR,2026-06-05T10:21:44,dev_bc3b75b551,49.61.78.225,Pune,18.5204,73.8567,wallet,benef_2895a81df3,completed,2140,1116.58,220,0,0,0,none,0,1,3,8,0.76
txn_903c8b8f3a,cust_00019,merch_c2141d29d8,5924.12,INR,2026-07-05T16:29:52,dev_5bd3163105,49.175.227.138,Mumbai,19.076,72.8777,upi,benef_a6ec313f33,completed,1398,4580.0,389,0,0,0,none,1,1,2,10,1.293
txn_489a350deb,cust_00291,merch_71143b04d0,1610.9,INR,2026-06-22T23:14:56,dev_33022738c0,49.93.142.147,Bengaluru,12.9716,77.5946,card,benef_549298b168,completed,2264,2402.79,24,0,0,0,none,1,1,1,4,0.67
txn_9169923bd1,cust_00082,merch_07be2912df,5828.25,INR,2026-07-18T02:00:14,dev_b171543a61,49.157.209.185,Ahmedabad,23.0225,72.5714,wallet,benef_d02351f319,completed,1752,5384.52,119,0,0,0,none,1,1,0,3,1.082
txn_b4323d8aad,cust_00021,merch_5b4ca87e59,5916.59,INR,2026-06-21T10:55:17,dev_54b9144306,49.223.161.77,Mumbai,19.076,72.8777,netbanking,benef_c27831bc55,completed,2084,5097.52,51,0,0,0,none,1,1,1,2,1.161
txn_8cc1437933,cust_00343,merch_314f15c227,1197.19,INR,2026-07-03T15:57:25,dev_57a7dc5cbc,49.77.146.155,Bengaluru,12.9716,77.5946,upi,benef_fc93225aa9,completed,1377,911.61,62,0,0,0,none,0,1,0,1,1.313
txn_9b9675fc7f,cust_00083,merch_c2141d29d8,2948.21,INR,2026-06-07T02:50:19,dev_6ac8f25aa6,49.191.221.122,Delhi,28.7041,77.1025,card,benef_c77d557912,completed,1017,2865.4,56,0,0,0,none,1,0,3,1,1.029
txn_7c36fc96a6,cust_00073,merch_a7156e2770,1337.46,INR,2026-06-25T00:41:02,dev_5e3c47afbd,49.141.214.1,Kolkata,22.5726,88.3639,card,benef_654bdbbdd4,completed,865,2032.09,118,0,0,0,none,1,2,2,8,0.658
txn_bdd1dbb34c,cust_00453,merch_dd82948f35,3908.38,INR,2026-06-20T18:16:34,dev_3c76bf7898,49.176.126.107,Kolkata,22.5726,88.3639,card,benef_973ba1a923,completed,1823,4347.81,269,0,0,0,none,1,0,0,1,0.899
txn_e51ac37706,cust_00477,merch_ea7ea275c9,455.4,INR,2026-06-01T20:11:11,dev_17a501b501,49.133.175.114,Hyderabad,17.385,78.4867,card,benef_c8b719ec7d,completed,1412,352.94,66,0,0,0,none,0,0,1,1,1.29
txn_2beb8cb912,cust_00318,merch_abf9ee9ff5,1331.24,INR,2026-07-29T17:33:55,dev_ce4194d43d,49.156.229.132,Delhi,28.7041,77.1025,card,benef_26cc950aef,completed,1309,1096.75,476,0,0,0,none,0,2,2,9,1.214
txn_e7d6d616e6,cust_00498,merch_95a0ec3e14,6543.77,INR,2026-07-27T11:15:23,dev_61ae5f4244,49.134.133.201,Pune,18.5204,73.8567,card,benef_6aeadfb755,completed,1066,4988.29,444,0,0,0,none,1,2,1,1,1.312
txn_96f1c8d754,cust_00211,merch_95a0ec3e14,884.12,INR,2026-07-14T15:38:07,dev_0c49a3addb,49.2.47.223,Pune,18.5204,73.8567,wallet,benef_403e2ef5f4,completed,1646,1116.53,168,0,0,0,none,1,1,3,6,0.792
txn_091e22f8c1,cust_00326,merch_314f15c227,6776.17,INR,2026-06-27T14:11:01,dev_ef91507b78,49.224.218.189,Ahmedabad,23.0225,72.5714,netbanking,benef_767186952f,completed,570,4446.19,194,0,0,0,none,1,0,0,9,1.524
txn_a8768e1c68,cust_00361,merch_bd45cae8e0,2033.87,INR,2026-07-15T07:41:59,dev_4499baf094,49.12.109.89,Mumbai,19.076,72.8777,netbanking,benef_0bab54ac79,completed,2221,4292.19,173,0,0,0,none,0,0,1,4,0.474
txn_a284d6ea22,cust_00049,merch_314f15c227,431.69,INR,2026-06-12T09:05:25,dev_cc9b5304db,49.239.90.226,Delhi,28.7041,77.1025,upi,benef_a103f05e89,completed,1005,692.11,70,0,0,0,none,0,0,1,10,0.624
txn_1381c42915,cust_00474,merch_bd45cae8e0,1339.53,INR,2026-07-10T02:43:54,dev_c9dcbb828d,49.24.168.93,Chennai,13.0827,80.2707,upi,benef_11f9780c64,completed,1528,1727.22,438,0,0,0,none,0,1,1,6,0.776
txn_08a366b9ea,cust_00321,merch_dd82948f35,1424.23,INR,2026-07-26T07:28:51,dev_21cf381bb1,49.173.29.251,Pune,18.5204,73.8567,card,benef_d4590cf419,completed,1265,2674.28,178,0,0,0,none,1,2,4,4,0.533
txn_e198151533,cust_00087,merch_ce05f572e1,2616.91,INR,2026-07-11T05:48:22,dev_42a10160f1,49.85.139.120,Kolkata,22.5726,88.3639,card,benef_44414e8daf,completed,852,2669.91,342,0,0,0,none,0,2,3,3,0.98
txn_58fd787bcd,cust_00201,merch_4b2372e333,3260.05,INR,2026-07-27T02:42:03,dev_c73aa37e13,49.204.180.30,Mumbai,19.076,72.8777,upi,benef_7b2e5811f0,completed,2263,5160.92,294,0,0,0,none,1,2,0,2,0.632
txn_6fff3e193f,cust_00196,merch_e884316330,5741.18,INR,2026-07-26T09:27:16,dev_e48de3d8ea,49.116.129.57,Mumbai,19.076,72.8777,netbanking,benef_d9e4c2bf89,completed,182,5688.87,418,0,0,0,none,0,0,0,10,1.009
txn_bfd445343c,cust_00253,merch_2340f5e723,5953.13,INR,2026-06-27T23:27:57,dev_b6c79c532b,49.14.165.124,Chennai,13.0827,80.2707,upi,benef_d1528e094b,completed,2276,5282.47,20,0,0,0,none,0,2,2,6,1.127
txn_6121df8247,cust_00005,merch_b159d25f91,4284.47,INR,2026-07-27T11:40:03,dev_b4bd475048,49.98.25.92,Mumbai,19.076,72.8777,wallet,benef_c51bf9a2ae,completed,2477,5130.72,306,0,0,0,none,0,1,0,6,0.835
txn_ae65cc1398,cust_00139,merch_eda360a87f,1689.98,INR,2026-07-30T09:13:21,dev_0fbfc938e9,49.90.105.86,Ahmedabad,23.0225,72.5714,wallet,benef_150dd9a081,completed,433,2130.03,402,0,0,0,none,1,2,1,8,0.793
txn_92705101dc,cust_00246,merch_d78340946b,817.16,INR,2026-06-15T02:20:45,dev_4c68d16e1d,49.76.217.202,Mumbai,19.076,72.8777,upi,benef_d3c062dee8,completed,2215,876.5,187,0,0,0,none,1,2,4,7,0.932
txn_e1825dc3c1,cust_00302,merch_a7156e2770,3769.45,INR,2026-06-12T05:16:41,dev_8fe4d4d2c0,49.165.245.78,Chennai,13.0827,80.2707,upi,benef_685463410b,completed,1668,3052.79,108,0,0,0,none,0,1,3,2,1.235
